Trace1,
Freq,,Amp,,
              100000,Hz,              -29.72, dBm,
             5433166,Hz,              -72.54, dBm,
            10766332,Hz,              -69.96, dBm,
            16099498,Hz,              -63.83, dBm,
            21432664,Hz,              -60.66, dBm,
            26765830,Hz,              -57.04, dBm,
            32098996,Hz,              -54.02, dBm,
            37432162,Hz,              -52.88, dBm,
            42765328,Hz,              -51.68, dBm,
            48098494,Hz,              -51.42, dBm,
            53431660,Hz,              -50.36, dBm,
            58764826,Hz,              -48.80, dBm,
            64097992,Hz,              -47.94, dBm,
            69431158,Hz,              -48.83, dBm,
            74764324,Hz,              -50.59, dBm,
            80097490,Hz,              -53.16, dBm,
            85430656,Hz,              -56.30, dBm,
            90763822,Hz,              -59.63, dBm,
            96096988,Hz,              -63.82, dBm,
           101430154,Hz,              -64.82, dBm,
           106763320,Hz,              -61.90, dBm,
           112096486,Hz,              -57.96, dBm,
           117429652,Hz,              -53.94, dBm,
           122762818,Hz,              -47.24, dBm,
           128095984,Hz,              -43.26, dBm,
           133429150,Hz,              -47.43, dBm,
           138762316,Hz,              -52.81, dBm,
           144095482,Hz,              -55.67, dBm,
           149428648,Hz,              -54.93, dBm,
           154761814,Hz,              -54.68, dBm,
           160094980,Hz,              -55.30, dBm,
           165428146,Hz,              -54.14, dBm,
           170761312,Hz,              -53.10, dBm,
           176094478,Hz,              -53.66, dBm,
           181427644,Hz,              -52.00, dBm,
           186760810,Hz,              -49.26, dBm,
           192093976,Hz,              -47.49, dBm,
           197427142,Hz,              -47.82, dBm,
           202760308,Hz,              -48.06, dBm,
           208093474,Hz,              -49.55, dBm,
           213426640,Hz,              -51.97, dBm,
           218759806,Hz,              -53.55, dBm,
           224092972,Hz,              -52.88, dBm,
           229426138,Hz,              -51.14, dBm,
           234759304,Hz,              -52.49, dBm,
           240092470,Hz,              -57.11, dBm,
           245425636,Hz,              -59.51, dBm,
           250758802,Hz,              -66.04, dBm,
           256091968,Hz,              -72.72, dBm,
           261425134,Hz,              -62.17, dBm,
           266758300,Hz,              -57.83, dBm,
           272091466,Hz,              -54.93, dBm,
           277424632,Hz,              -52.28, dBm,
           282757798,Hz,              -51.06, dBm,
           288090964,Hz,              -52.43, dBm,
           293424130,Hz,              -53.58, dBm,
           298757296,Hz,              -50.05, dBm,
           304090462,Hz,              -49.16, dBm,
           309423628,Hz,              -51.19, dBm,
           314756794,Hz,              -53.49, dBm,
           320089960,Hz,              -53.99, dBm,
           325423126,Hz,              -56.09, dBm,
           330756292,Hz,              -58.68, dBm,
           336089458,Hz,              -58.80, dBm,
           341422624,Hz,              -58.55, dBm,
           346755790,Hz,              -59.72, dBm,
           352088956,Hz,              -60.41, dBm,
           357422122,Hz,              -59.77, dBm,
           362755288,Hz,              -61.01, dBm,
           368088454,Hz,              -63.41, dBm,
           373421620,Hz,              -63.99, dBm,
           378754786,Hz,              -62.74, dBm,
           384087952,Hz,              -60.37, dBm,
           389421118,Hz,              -56.46, dBm,
           394754284,Hz,              -52.49, dBm,
           400087450,Hz,              -48.99, dBm,
           405420616,Hz,              -47.94, dBm,
           410753782,Hz,              -46.68, dBm,
           416086948,Hz,              -45.88, dBm,
           421420114,Hz,              -46.03, dBm,
           426753280,Hz,              -45.34, dBm,
           432086446,Hz,              -43.45, dBm,
           437419612,Hz,              -41.69, dBm,
           442752778,Hz,              -40.68, dBm,
           448085944,Hz,              -38.91, dBm,
           453419110,Hz,              -36.41, dBm,
           458752276,Hz,              -34.92, dBm,
           464085442,Hz,              -34.94, dBm,
           469418608,Hz,              -34.70, dBm,
           474751774,Hz,              -33.26, dBm,
           480084940,Hz,              -33.31, dBm,
           485418106,Hz,              -35.10, dBm,
           490751272,Hz,              -36.88, dBm,
           496084438,Hz,              -38.32, dBm,
           501417604,Hz,              -41.01, dBm,
           506750770,Hz,              -45.20, dBm,
           512083936,Hz,              -45.18, dBm,
           517417102,Hz,              -45.56, dBm,
