Trace1,
Freq,,Amp,,
              100000,Hz,              -19.03, dBm,
             5433166,Hz,              -65.56, dBm,
            10766332,Hz,              -67.27, dBm,
            16099498,Hz,              -69.72, dBm,
            21432664,Hz,              -60.95, dBm,
            26765830,Hz,              -58.34, dBm,
            32098996,Hz,              -57.32, dBm,
            37432162,Hz,              -59.77, dBm,
            42765328,Hz,              -60.90, dBm,
            48098494,Hz,              -58.34, dBm,
            53431660,Hz,              -57.65, dBm,
            58764826,Hz,              -58.99, dBm,
            64097992,Hz,              -53.88, dBm,
            69431158,Hz,              -52.93, dBm,
            74764324,Hz,              -53.54, dBm,
            80097490,Hz,              -57.50, dBm,
            85430656,Hz,              -59.27, dBm,
            90763822,Hz,              -64.49, dBm,
            96096988,Hz,              -67.45, dBm,
           101430154,Hz,              -66.09, dBm,
           106763320,Hz,              -66.66, dBm,
           112096486,Hz,              -67.19, dBm,
           117429652,Hz,              -70.76, dBm,
           122762818,Hz,              -69.64, dBm,
           128095984,Hz,              -68.78, dBm,
           133429150,Hz,              -65.68, dBm,
           138762316,Hz,              -64.90, dBm,
           144095482,Hz,              -62.15, dBm,
           149428648,Hz,              -62.74, dBm,
           154761814,Hz,              -66.61, dBm,
           160094980,Hz,              -64.73, dBm,
           165428146,Hz,              -63.36, dBm,
           170761312,Hz,              -65.03, dBm,
           176094478,Hz,              -61.55, dBm,
           181427644,Hz,              -60.41, dBm,
           186760810,Hz,              -60.42, dBm,
           192093976,Hz,              -61.07, dBm,
           197427142,Hz,              -53.77, dBm,
           202760308,Hz,              -58.14, dBm,
           208093474,Hz,              -60.83, dBm,
           213426640,Hz,              -60.52, dBm,
           218759806,Hz,              -61.16, dBm,
           224092972,Hz,              -61.35, dBm,
           229426138,Hz,              -64.02, dBm,
           234759304,Hz,              -65.80, dBm,
           240092470,Hz,              -65.17, dBm,
           245425636,Hz,              -65.85, dBm,
           250758802,Hz,              -69.49, dBm,
           256091968,Hz,              -68.71, dBm,
           261425134,Hz,              -68.75, dBm,
           266758300,Hz,              -66.84, dBm,
           272091466,Hz,              -67.11, dBm,
           277424632,Hz,              -67.31, dBm,
           282757798,Hz,              -69.03, dBm,
           288090964,Hz,              -66.84, dBm,
           293424130,Hz,              -64.56, dBm,
           298757296,Hz,              -67.02, dBm,
           304090462,Hz,              -65.78, dBm,
           309423628,Hz,              -66.16, dBm,
           314756794,Hz,              -65.06, dBm,
           320089960,Hz,              -65.13, dBm,
           325423126,Hz,              -63.12, dBm,
           330756292,Hz,              -65.62, dBm,
           336089458,Hz,              -68.18, dBm,
           341422624,Hz,              -65.87, dBm,
           346755790,Hz,              -68.30, dBm,
           352088956,Hz,              -67.91, dBm,
           357422122,Hz,              -65.91, dBm,
           362755288,Hz,              -64.42, dBm,
           368088454,Hz,              -62.99, dBm,
           373421620,Hz,              -63.75, dBm,
           378754786,Hz,              -65.82, dBm,
           384087952,Hz,              -66.12, dBm,
           389421118,Hz,              -62.46, dBm,
           394754284,Hz,              -61.48, dBm,
           400087450,Hz,              -61.71, dBm,
           405420616,Hz,              -56.94, dBm,
           410753782,Hz,              -54.31, dBm,
           416086948,Hz,              -53.74, dBm,
           421420114,Hz,              -54.33, dBm,
           426753280,Hz,              -54.61, dBm,
           432086446,Hz,              -55.73, dBm,
           437419612,Hz,              -60.28, dBm,
           442752778,Hz,              -61.00, dBm,
           448085944,Hz,              -59.87, dBm,
           453419110,Hz,              -59.82, dBm,
           458752276,Hz,              -62.62, dBm,
