Trace1,
Freq,,Amp,,
              100000,Hz,              -29.74, dBm,
             5433166,Hz,              -73.39, dBm,
            10766332,Hz,              -73.80, dBm,
            16099498,Hz,              -73.49, dBm,
            21432664,Hz,              -70.28, dBm,
            26765830,Hz,              -66.60, dBm,
            32098996,Hz,              -66.13, dBm,
            37432162,Hz,              -65.46, dBm,
            42765328,Hz,              -62.06, dBm,
            48098494,Hz,              -60.83, dBm,
            53431660,Hz,              -61.92, dBm,
            58764826,Hz,              -59.65, dBm,
            64097992,Hz,              -56.00, dBm,
            69431158,Hz,              -59.06, dBm,
            74764324,Hz,              -62.42, dBm,
            80097490,Hz,              -62.07, dBm,
            85430656,Hz,              -64.14, dBm,
            90763822,Hz,              -70.21, dBm,
            96096988,Hz,              -72.01, dBm,
           101430154,Hz,              -69.74, dBm,
           106763320,Hz,              -71.70, dBm,
           112096486,Hz,              -74.38, dBm,
           117429652,Hz,              -69.87, dBm,
           122762818,Hz,              -63.84, dBm,
           128095984,Hz,              -62.82, dBm,
           133429150,Hz,              -66.20, dBm,
           138762316,Hz,              -67.29, dBm,
           144095482,Hz,              -70.04, dBm,
           149428648,Hz,              -70.22, dBm,
           154761814,Hz,              -68.86, dBm,
           160094980,Hz,              -68.23, dBm,
           165428146,Hz,              -69.94, dBm,
           170761312,Hz,              -70.34, dBm,
           176094478,Hz,              -70.33, dBm,
           181427644,Hz,              -72.30, dBm,
           186760810,Hz,              -74.78, dBm,
           192093976,Hz,              -76.31, dBm,
           197427142,Hz,              -71.21, dBm,
           202760308,Hz,              -72.92, dBm,
           208093474,Hz,              -70.67, dBm,
           213426640,Hz,              -66.32, dBm,
           218759806,Hz,              -64.77, dBm,
           224092972,Hz,              -66.17, dBm,
           229426138,Hz,              -64.83, dBm,
           234759304,Hz,              -63.38, dBm,
           240092470,Hz,              -66.55, dBm,
           245425636,Hz,              -68.61, dBm,
           250758802,Hz,              -67.07, dBm,
           256091968,Hz,              -66.16, dBm,
           261425134,Hz,              -67.16, dBm,
           266758300,Hz,              -66.37, dBm,
           272091466,Hz,              -64.20, dBm,
           277424632,Hz,              -63.78, dBm,
           282757798,Hz,              -62.86, dBm,
           288090964,Hz,              -60.17, dBm,
           293424130,Hz,              -59.44, dBm,
           298757296,Hz,              -62.81, dBm,
           304090462,Hz,              -65.01, dBm,
           309423628,Hz,              -65.47, dBm,
           314756794,Hz,              -67.60, dBm,
           320089960,Hz,              -71.74, dBm,
           325423126,Hz,              -73.71, dBm,
           330756292,Hz,              -73.95, dBm,
           336089458,Hz,              -73.60, dBm,
           341422624,Hz,              -73.33, dBm,
           346755790,Hz,              -72.17, dBm,
           352088956,Hz,              -71.99, dBm,
           357422122,Hz,              -72.09, dBm,
           362755288,Hz,              -72.40, dBm,
           368088454,Hz,              -72.74, dBm,
           373421620,Hz,              -73.58, dBm,
           378754786,Hz,              -74.78, dBm,
           384087952,Hz,              -74.82, dBm,
           389421118,Hz,              -72.53, dBm,
           394754284,Hz,              -69.50, dBm,
           400087450,Hz,              -66.67, dBm,
           405420616,Hz,              -65.16, dBm,
           410753782,Hz,              -65.17, dBm,
           416086948,Hz,              -65.77, dBm,
           421420114,Hz,              -63.86, dBm,
           426753280,Hz,              -61.22, dBm,
           432086446,Hz,              -60.17, dBm,
           437419612,Hz,              -59.05, dBm,
           442752778,Hz,              -55.29, dBm,
           448085944,Hz,              -53.79, dBm,
           453419110,Hz,              -53.04, dBm,
           458752276,Hz,              -51.25, dBm,
           464085442,Hz,              -51.31, dBm,
           469418608,Hz,              -52.97, dBm,
           474751774,Hz,              -53.08, dBm,
           480084940,Hz,              -52.03, dBm,
           485418106,Hz,              -54.81, dBm,
           490751272,Hz,              -57.85, dBm,
           496084438,Hz,              -59.29, dBm,
           501417604,Hz,              -60.12, dBm,
           506750770,Hz,              -59.18, dBm,
           512083936,Hz,              -57.87, dBm,
           517417102,Hz,              -53.46, dBm,
           522750268,Hz,              -50.38, dBm,
           528083434,Hz,              -50.36, dBm,
           533416600,Hz,              -49.45, dBm,
           538749766,Hz,              -48.62, dBm,
           544082932,Hz,              -50.27, dBm,
           549416098,Hz,              -53.93, dBm,
           554749264,Hz,              -58.73, dBm,
           560082430,Hz,              -59.59, dBm,
           565415596,Hz,              -59.95, dBm,
           570748762,Hz,              -59.47, dBm,
           576081928,Hz,              -56.25, dBm,
           581415094,Hz,              -56.37, dBm,
           586748260,Hz,              -57.80, dBm,
           592081426,Hz,              -55.95, dBm,
           597414592,Hz,              -55.12, dBm,
           602747758,Hz,              -55.41, dBm,
           608080924,Hz,              -55.02, dBm,
           613414090,Hz,              -54.59, dBm,
           618747256,Hz,              -56.96, dBm,
           624080422,Hz,              -58.63, dBm,
           629413588,Hz,              -58.14, dBm,
           634746754,Hz,              -57.32, dBm,
           640079920,Hz,              -57.89, dBm,
           645413086,Hz,              -56.00, dBm,
           650746252,Hz,              -53.72, dBm,
           656079418,Hz,              -54.38, dBm,
           661412584,Hz,              -55.23, dBm,
           666745750,Hz,              -52.30, dBm,
           672078916,Hz,              -49.72, dBm,
           677412082,Hz,              -49.29, dBm,
           682745248,Hz,              -47.77, dBm,
           688078414,Hz,              -45.29, dBm,
           693411580,Hz,              -45.25, dBm,
           698744746,Hz,              -45.14, dBm,
           704077912,Hz,              -43.56, dBm,
           709411078,Hz,              -42.96, dBm,
           714744244,Hz,              -44.85, dBm,
           720077410,Hz,              -45.45, dBm,
