Trace1,
Freq,,Amp,,
              100000,Hz,              -29.57, dBm,
             5433166,Hz,              -71.28, dBm,
            10766332,Hz,              -66.25, dBm,
            16099498,Hz,              -58.44, dBm,
            21432664,Hz,              -57.07, dBm,
            26765830,Hz,              -56.69, dBm,
            32098996,Hz,              -54.94, dBm,
            37432162,Hz,              -53.82, dBm,
            42765328,Hz,              -52.97, dBm,
            48098494,Hz,              -50.44, dBm,
            53431660,Hz,              -46.24, dBm,
            58764826,Hz,              -43.16, dBm,
            64097992,Hz,              -42.16, dBm,
            69431158,Hz,              -43.87, dBm,
            74764324,Hz,              -47.46, dBm,
            80097490,Hz,              -52.48, dBm,
            85430656,Hz,              -59.42, dBm,
            90763822,Hz,              -66.27, dBm,
            96096988,Hz,              -61.85, dBm,
           101430154,Hz,              -59.14, dBm,
           106763320,Hz,              -53.88, dBm,
           112096486,Hz,              -49.01, dBm,
           117429652,Hz,              -45.62, dBm,
           122762818,Hz,              -40.60, dBm,
           128095984,Hz,              -37.30, dBm,
           133429150,Hz,              -43.06, dBm,
           138762316,Hz,              -48.99, dBm,
           144095482,Hz,              -51.61, dBm,
           149428648,Hz,              -50.09, dBm,
           154761814,Hz,              -48.78, dBm,
           160094980,Hz,              -48.60, dBm,
           165428146,Hz,              -47.41, dBm,
           170761312,Hz,              -46.51, dBm,
           176094478,Hz,              -46.68, dBm,
           181427644,Hz,              -46.66, dBm,
           186760810,Hz,              -46.83, dBm,
           192093976,Hz,              -49.48, dBm,
           197427142,Hz,              -55.36, dBm,
           202760308,Hz,              -59.10, dBm,
           208093474,Hz,              -52.79, dBm,
           213426640,Hz,              -49.84, dBm,
           218759806,Hz,              -48.02, dBm,
           224092972,Hz,              -45.60, dBm,
           229426138,Hz,              -43.82, dBm,
           234759304,Hz,              -42.30, dBm,
           240092470,Hz,              -40.77, dBm,
           245425636,Hz,              -41.06, dBm,
           250758802,Hz,              -43.05, dBm,
           256091968,Hz,              -43.19, dBm,
           261425134,Hz,              -41.94, dBm,
           266758300,Hz,              -40.81, dBm,
