Trace1,
Freq,,Amp,,
              100000,Hz,              -19.01, dBm,
             5433166,Hz,              -65.69, dBm,
            10766332,Hz,              -65.11, dBm,
            16099498,Hz,              -66.45, dBm,
            21432664,Hz,              -61.58, dBm,
            26765830,Hz,              -60.20, dBm,
            32098996,Hz,              -59.80, dBm,
            37432162,Hz,              -63.66, dBm,
            42765328,Hz,              -63.98, dBm,
            48098494,Hz,              -63.18, dBm,
            53431660,Hz,              -61.69, dBm,
            58764826,Hz,              -60.89, dBm,
            64097992,Hz,              -57.29, dBm,
            69431158,Hz,              -55.22, dBm,
            74764324,Hz,              -55.59, dBm,
            80097490,Hz,              -57.80, dBm,
            85430656,Hz,              -55.34, dBm,
            90763822,Hz,              -57.73, dBm,
            96096988,Hz,              -61.00, dBm,
           101430154,Hz,              -60.31, dBm,
           106763320,Hz,              -59.48, dBm,
           112096486,Hz,              -64.79, dBm,
           117429652,Hz,              -65.34, dBm,
           122762818,Hz,              -68.93, dBm,
           128095984,Hz,              -68.74, dBm,
           133429150,Hz,              -69.82, dBm,
           138762316,Hz,              -64.65, dBm,
           144095482,Hz,              -61.58, dBm,
           149428648,Hz,              -64.50, dBm,
           154761814,Hz,              -68.49, dBm,
           160094980,Hz,              -69.96, dBm,
           165428146,Hz,              -64.59, dBm,
           170761312,Hz,              -64.83, dBm,
           176094478,Hz,              -63.09, dBm,
           181427644,Hz,              -64.21, dBm,
           186760810,Hz,              -64.46, dBm,
           192093976,Hz,              -65.69, dBm,
           197427142,Hz,              -59.21, dBm,
           202760308,Hz,              -64.43, dBm,
           208093474,Hz,              -66.86, dBm,
           213426640,Hz,              -64.05, dBm,
           218759806,Hz,              -64.88, dBm,
           224092972,Hz,              -64.64, dBm,
           229426138,Hz,              -68.35, dBm,
           234759304,Hz,              -67.68, dBm,
           240092470,Hz,              -64.66, dBm,
           245425636,Hz,              -63.15, dBm,
           250758802,Hz,              -59.80, dBm,
           256091968,Hz,              -58.98, dBm,
           261425134,Hz,              -61.45, dBm,
           266758300,Hz,              -64.56, dBm,
           272091466,Hz,              -62.65, dBm,
           277424632,Hz,              -61.50, dBm,
           282757798,Hz,              -64.31, dBm,
           288090964,Hz,              -64.83, dBm,
           293424130,Hz,              -65.46, dBm,
           298757296,Hz,              -64.98, dBm,
           304090462,Hz,              -63.40, dBm,
           309423628,Hz,              -64.68, dBm,
           314756794,Hz,              -62.86, dBm,
           320089960,Hz,              -61.39, dBm,
           325423126,Hz,              -65.64, dBm,
           330756292,Hz,              -66.21, dBm,
           336089458,Hz,              -65.48, dBm,
           341422624,Hz,              -64.90, dBm,
           346755790,Hz,              -65.68, dBm,
           352088956,Hz,              -64.36, dBm,
           357422122,Hz,              -64.04, dBm,
           362755288,Hz,              -67.03, dBm,
           368088454,Hz,              -67.27, dBm,
           373421620,Hz,              -64.40, dBm,
           378754786,Hz,              -64.83, dBm,
           384087952,Hz,              -64.86, dBm,
           389421118,Hz,              -61.24, dBm,
           394754284,Hz,              -61.32, dBm,
           400087450,Hz,              -61.79, dBm,
           405420616,Hz,              -60.83, dBm,
           410753782,Hz,              -61.40, dBm,
           416086948,Hz,              -65.66, dBm,
           421420114,Hz,              -64.99, dBm,
           426753280,Hz,              -63.28, dBm,
           432086446,Hz,              -61.85, dBm,
           437419612,Hz,              -61.92, dBm,
           442752778,Hz,              -60.18, dBm,
           448085944,Hz,              -58.68, dBm,
           453419110,Hz,              -59.39, dBm,
           458752276,Hz,              -57.23, dBm,
           464085442,Hz,              -54.92, dBm,
           469418608,Hz,              -54.46, dBm,
           474751774,Hz,              -55.39, dBm,
           480084940,Hz,              -53.35, dBm,
           485418106,Hz,              -53.26, dBm,
           490751272,Hz,              -54.79, dBm,
           496084438,Hz,              -56.87, dBm,
           501417604,Hz,              -56.43, dBm,
           506750770,Hz,              -59.05, dBm,
           512083936,Hz,              -62.64, dBm,
           517417102,Hz,              -63.69, dBm,
           522750268,Hz,              -57.20, dBm,
           528083434,Hz,              -53.67, dBm,
           533416600,Hz,              -54.17, dBm,
           538749766,Hz,              -51.56, dBm,
           544082932,Hz,              -50.68, dBm,
           549416098,Hz,              -50.89, dBm,
           554749264,Hz,              -51.07, dBm,
           560082430,Hz,              -49.40, dBm,
           565415596,Hz,              -48.63, dBm,
           570748762,Hz,              -48.75, dBm,
           576081928,Hz,              -46.49, dBm,
           581415094,Hz,              -46.02, dBm,
           586748260,Hz,              -46.72, dBm,
           592081426,Hz,              -46.50, dBm,
           597414592,Hz,              -46.09, dBm,
           602747758,Hz,              -46.81, dBm,
           608080924,Hz,              -49.60, dBm,
           613414090,Hz,              -48.44, dBm,
