Trace1,
Freq,,Amp,,
              100000,Hz,              -11.76, dBm,
             5433166,Hz,              -16.30, dBm,
            10766332,Hz,              -18.27, dBm,
            16099498,Hz,              -18.76, dBm,
            21432664,Hz,              -19.31, dBm,
            26765830,Hz,              -19.84, dBm,
            32098996,Hz,              -20.34, dBm,
            37432162,Hz,              -20.73, dBm,
            42765328,Hz,              -21.09, dBm,
            48098494,Hz,              -21.36, dBm,
            53431660,Hz,              -21.48, dBm,
            58764826,Hz,              -21.40, dBm,
            64097992,Hz,              -21.11, dBm,
            69431158,Hz,              -20.76, dBm,
            74764324,Hz,              -20.37, dBm,
            80097490,Hz,              -20.07, dBm,
            85430656,Hz,              -19.94, dBm,
            90763822,Hz,              -19.95, dBm,
            96096988,Hz,              -20.13, dBm,
           101430154,Hz,              -20.71, dBm,
           106763320,Hz,              -21.62, dBm,
           112096486,Hz,              -22.97, dBm,
           117429652,Hz,              -24.62, dBm,
           122762818,Hz,              -26.47, dBm,
           128095984,Hz,              -28.55, dBm,
           133429150,Hz,              -30.60, dBm,
           138762316,Hz,              -32.41, dBm,
           144095482,Hz,              -35.44, dBm,
           149428648,Hz,              -37.81, dBm,
           154761814,Hz,              -41.71, dBm,
           160094980,Hz,              -34.97, dBm,
           165428146,Hz,              -30.04, dBm,
           170761312,Hz,              -27.32, dBm,
           176094478,Hz,              -25.74, dBm,
           181427644,Hz,              -25.08, dBm,
           186760810,Hz,              -24.80, dBm,
           192093976,Hz,              -24.61, dBm,
           197427142,Hz,              -24.41, dBm,
           202760308,Hz,              -24.20, dBm,
           208093474,Hz,              -24.01, dBm,
           213426640,Hz,              -23.94, dBm,
           218759806,Hz,              -23.84, dBm,
           224092972,Hz,              -23.02, dBm,
           229426138,Hz,              -22.35, dBm,
           234759304,Hz,              -21.85, dBm,
           240092470,Hz,              -21.49, dBm,
           245425636,Hz,              -21.24, dBm,
           250758802,Hz,              -21.05, dBm,
           256091968,Hz,              -20.91, dBm,
           261425134,Hz,              -20.74, dBm,
           266758300,Hz,              -20.62, dBm,
           272091466,Hz,              -20.56, dBm,
           277424632,Hz,              -20.50, dBm,
           282757798,Hz,              -20.54, dBm,
           288090964,Hz,              -20.69, dBm,
           293424130,Hz,              -20.87, dBm,
           298757296,Hz,              -21.11, dBm,
           304090462,Hz,              -21.35, dBm,
           309423628,Hz,              -21.59, dBm,
           314756794,Hz,              -21.79, dBm,
           320089960,Hz,              -21.91, dBm,
           325423126,Hz,              -22.00, dBm,
           330756292,Hz,              -21.90, dBm,
           336089458,Hz,              -21.66, dBm,
           341422624,Hz,              -21.33, dBm,
           346755790,Hz,              -20.94, dBm,
           352088956,Hz,              -20.60, dBm,
           357422122,Hz,              -20.36, dBm,
           362755288,Hz,              -20.32, dBm,
           368088454,Hz,              -20.34, dBm,
           373421620,Hz,              -20.58, dBm,
           378754786,Hz,              -21.06, dBm,
           384087952,Hz,              -21.73, dBm,
           389421118,Hz,              -22.54, dBm,
           394754284,Hz,              -23.42, dBm,
           400087450,Hz,              -24.20, dBm,
           405420616,Hz,              -24.85, dBm,
           410753782,Hz,              -25.42, dBm,
           416086948,Hz,              -25.67, dBm,
           421420114,Hz,              -25.88, dBm,
           426753280,Hz,              -26.06, dBm,
           432086446,Hz,              -26.33, dBm,
           437419612,Hz,              -26.92, dBm,
           442752778,Hz,              -28.02, dBm,
           448085944,Hz,              -29.97, dBm,
           453419110,Hz,              -33.30, dBm,
           458752276,Hz,              -37.75, dBm,
           464085442,Hz,              -36.01, dBm,
           469418608,Hz,              -32.70, dBm,
           474751774,Hz,              -30.26, dBm,
           480084940,Hz,              -28.46, dBm,
           485418106,Hz,              -26.99, dBm,
           490751272,Hz,              -25.82, dBm,
           496084438,Hz,              -24.91, dBm,
           501417604,Hz,              -24.37, dBm,
           506750770,Hz,              -23.98, dBm,
           512083936,Hz,              -23.73, dBm,
           517417102,Hz,              -23.47, dBm,
           522750268,Hz,              -23.13, dBm,
           528083434,Hz,              -22.70, dBm,
           533416600,Hz,              -22.21, dBm,
           538749766,Hz,              -21.67, dBm,
           544082932,Hz,              -21.18, dBm,
           549416098,Hz,              -20.88, dBm,
           554749264,Hz,              -20.78, dBm,
           560082430,Hz,              -20.82, dBm,
           565415596,Hz,              -20.96, dBm,
           570748762,Hz,              -21.28, dBm,
           576081928,Hz,              -21.68, dBm,
           581415094,Hz,              -22.12, dBm,
           586748260,Hz,              -22.52, dBm,
           592081426,Hz,              -22.87, dBm,
           597414592,Hz,              -23.10, dBm,
           602747758,Hz,              -23.22, dBm,
           608080924,Hz,              -23.12, dBm,
           613414090,Hz,              -22.99, dBm,
           618747256,Hz,              -22.76, dBm,
           624080422,Hz,              -22.50, dBm,
           629413588,Hz,              -22.30, dBm,
           634746754,Hz,              -22.22, dBm,
           640079920,Hz,              -22.22, dBm,
           645413086,Hz,              -22.39, dBm,
           650746252,Hz,              -22.72, dBm,
           656079418,Hz,              -23.18, dBm,
           661412584,Hz,              -23.75, dBm,
           666745750,Hz,              -24.43, dBm,
           672078916,Hz,              -25.19, dBm,
           677412082,Hz,              -26.06, dBm,
           682745248,Hz,              -26.80, dBm,
           688078414,Hz,              -27.47, dBm,
           693411580,Hz,              -28.15, dBm,
           698744746,Hz,              -28.77, dBm,
           704077912,Hz,              -29.25, dBm,
           709411078,Hz,              -29.60, dBm,
           714744244,Hz,              -29.33, dBm,
           720077410,Hz,              -28.67, dBm,
           725410576,Hz,              -27.84, dBm,
           730743742,Hz,              -26.78, dBm,
           736076908,Hz,              -25.73, dBm,
           741410074,Hz,              -24.75, dBm,
           746743240,Hz,              -23.89, dBm,
           752076406,Hz,              -23.35, dBm,
           757409572,Hz,              -23.11, dBm,
           762742738,Hz,              -23.07, dBm,
           768075904,Hz,              -23.12, dBm,
           773409070,Hz,              -23.39, dBm,
           778742236,Hz,              -23.72, dBm,
           784075402,Hz,              -24.04, dBm,
           789408568,Hz,              -24.30, dBm,
           794741734,Hz,              -24.53, dBm,
           800074900,Hz,              -24.73, dBm,
           805408066,Hz,              -24.96, dBm,
           810741232,Hz,              -25.09, dBm,
           816074398,Hz,              -25.19, dBm,
           821407564,Hz,              -25.16, dBm,
           826740730,Hz,              -25.07, dBm,
           832073896,Hz,              -24.90, dBm,
           837407062,Hz,              -24.70, dBm,
           842740228,Hz,              -24.52, dBm,
           848073394,Hz,              -24.46, dBm,
           853406560,Hz,              -24.52, dBm,
           858739726,Hz,              -24.60, dBm,
           864072892,Hz,              -24.71, dBm,
           869406058,Hz,              -25.01, dBm,
           874739224,Hz,              -25.47, dBm,
           880072390,Hz,              -26.06, dBm,
           885405556,Hz,              -26.66, dBm,
           890738722,Hz,              -27.19, dBm,
           896071888,Hz,              -27.65, dBm,
           901405054,Hz,              -27.96, dBm,
           906738220,Hz,              -27.94, dBm,
           912071386,Hz,              -27.53, dBm,
           917404552,Hz,              -26.86, dBm,
           922737718,Hz,              -26.01, dBm,
           928070884,Hz,              -25.07, dBm,
           933404050,Hz,              -24.27, dBm,
           938737216,Hz,              -23.58, dBm,
           944070382,Hz,              -23.13, dBm,
           949403548,Hz,              -22.91, dBm,
           954736714,Hz,              -22.88, dBm,
           960069880,Hz,              -22.86, dBm,
           965403046,Hz,              -22.97, dBm,
           970736212,Hz,              -23.11, dBm,
           976069378,Hz,              -23.32, dBm,
           981402544,Hz,              -23.52, dBm,
           986735710,Hz,              -23.75, dBm,
           992068876,Hz,              -23.93, dBm,
           997402042,Hz,              -24.16, dBm,
          1002735208,Hz,              -24.24, dBm,
          1008068374,Hz,              -24.28, dBm,
          1013401540,Hz,              -24.27, dBm,
          1018734706,Hz,              -24.19, dBm,
          1024067872,Hz,              -24.03, dBm,
          1029401038,Hz,              -23.89, dBm,
          1034734204,Hz,              -23.76, dBm,
          1040067370,Hz,              -23.69, dBm,
          1045400536,Hz,              -23.64, dBm,
          1050733702,Hz,              -23.63, dBm,
          1056066868,Hz,              -23.67, dBm,
          1061400034,Hz,              -23.77, dBm,
          1066733200,Hz,              -24.00, dBm,
          1072066366,Hz,              -24.25, dBm,
          1077399532,Hz,              -24.50, dBm,
          1082732698,Hz,              -24.78, dBm,
          1088065864,Hz,              -25.02, dBm,
