Trace1,
Freq,,Amp,,
              100000,Hz,              -10.25, dBm,
             5433166,Hz,              -15.71, dBm,
            10766332,Hz,              -18.21, dBm,
            16099498,Hz,              -18.70, dBm,
            21432664,Hz,              -19.26, dBm,
            26765830,Hz,              -19.78, dBm,
            32098996,Hz,              -20.26, dBm,
            37432162,Hz,              -20.66, dBm,
            42765328,Hz,              -21.04, dBm,
            48098494,Hz,              -21.27, dBm,
            53431660,Hz,              -21.40, dBm,
            58764826,Hz,              -21.39, dBm,
            64097992,Hz,              -21.08, dBm,
            69431158,Hz,              -20.68, dBm,
            74764324,Hz,              -20.35, dBm,
            80097490,Hz,              -20.01, dBm,
            85430656,Hz,              -19.89, dBm,
            90763822,Hz,              -19.89, dBm,
            96096988,Hz,              -20.09, dBm,
           101430154,Hz,              -20.64, dBm,
           106763320,Hz,              -21.59, dBm,
           112096486,Hz,              -22.87, dBm,
           117429652,Hz,              -24.57, dBm,
           122762818,Hz,              -26.45, dBm,
           128095984,Hz,              -28.37, dBm,
           133429150,Hz,              -30.23, dBm,
           138762316,Hz,              -32.03, dBm,
           144095482,Hz,              -34.82, dBm,
           149428648,Hz,              -38.76, dBm,
           154761814,Hz,              -40.37, dBm,
           160094980,Hz,              -33.05, dBm,
           165428146,Hz,              -29.00, dBm,
           170761312,Hz,              -26.70, dBm,
           176094478,Hz,              -25.43, dBm,
           181427644,Hz,              -24.83, dBm,
           186760810,Hz,              -24.58, dBm,
           192093976,Hz,              -24.52, dBm,
           197427142,Hz,              -24.53, dBm,
           202760308,Hz,              -24.67, dBm,
           208093474,Hz,              -24.94, dBm,
           213426640,Hz,              -24.25, dBm,
           218759806,Hz,              -23.44, dBm,
           224092972,Hz,              -22.77, dBm,
           229426138,Hz,              -22.19, dBm,
           234759304,Hz,              -21.77, dBm,
           240092470,Hz,              -21.43, dBm,
           245425636,Hz,              -21.19, dBm,
           250758802,Hz,              -21.00, dBm,
           256091968,Hz,              -20.83, dBm,
           261425134,Hz,              -20.67, dBm,
           266758300,Hz,              -20.54, dBm,
           272091466,Hz,              -20.48, dBm,
           277424632,Hz,              -20.42, dBm,
           282757798,Hz,              -20.46, dBm,
           288090964,Hz,              -20.58, dBm,
           293424130,Hz,              -20.74, dBm,
           298757296,Hz,              -20.98, dBm,
           304090462,Hz,              -21.21, dBm,
           309423628,Hz,              -21.43, dBm,
           314756794,Hz,              -21.66, dBm,
           320089960,Hz,              -21.78, dBm,
           325423126,Hz,              -21.89, dBm,
           330756292,Hz,              -21.81, dBm,
           336089458,Hz,              -21.65, dBm,
           341422624,Hz,              -21.33, dBm,
           346755790,Hz,              -20.97, dBm,
           352088956,Hz,              -20.63, dBm,
           357422122,Hz,              -20.45, dBm,
           362755288,Hz,              -20.40, dBm,
           368088454,Hz,              -20.42, dBm,
           373421620,Hz,              -20.58, dBm,
           378754786,Hz,              -21.04, dBm,
           384087952,Hz,              -21.66, dBm,
           389421118,Hz,              -22.39, dBm,
           394754284,Hz,              -23.21, dBm,
           400087450,Hz,              -23.99, dBm,
           405420616,Hz,              -24.66, dBm,
           410753782,Hz,              -25.25, dBm,
           416086948,Hz,              -25.66, dBm,
           421420114,Hz,              -26.07, dBm,
           426753280,Hz,              -26.47, dBm,
           432086446,Hz,              -26.97, dBm,
           437419612,Hz,              -27.77, dBm,
           442752778,Hz,              -28.89, dBm,
           448085944,Hz,              -30.49, dBm,
           453419110,Hz,              -33.04, dBm,
           458752276,Hz,              -35.06, dBm,
           464085442,Hz,              -35.07, dBm,
           469418608,Hz,              -32.91, dBm,
           474751774,Hz,              -30.92, dBm,
           480084940,Hz,              -29.06, dBm,
           485418106,Hz,              -27.39, dBm,
           490751272,Hz,              -26.10, dBm,
           496084438,Hz,              -25.18, dBm,
           501417604,Hz,              -24.55, dBm,
           506750770,Hz,              -24.21, dBm,
           512083936,Hz,              -23.89, dBm,
           517417102,Hz,              -23.68, dBm,
           522750268,Hz,              -23.36, dBm,
           528083434,Hz,              -22.91, dBm,
           533416600,Hz,              -22.38, dBm,
           538749766,Hz,              -21.86, dBm,
           544082932,Hz,              -21.33, dBm,
           549416098,Hz,              -20.93, dBm,
           554749264,Hz,              -20.77, dBm,
           560082430,Hz,              -20.77, dBm,
           565415596,Hz,              -20.85, dBm,
           570748762,Hz,              -21.10, dBm,
           576081928,Hz,              -21.46, dBm,
           581415094,Hz,              -21.87, dBm,
           586748260,Hz,              -22.32, dBm,
           592081426,Hz,              -22.64, dBm,
           597414592,Hz,              -22.94, dBm,
           602747758,Hz,              -23.08, dBm,
           608080924,Hz,              -23.04, dBm,
           613414090,Hz,              -22.89, dBm,
           618747256,Hz,              -22.70, dBm,
           624080422,Hz,              -22.50, dBm,
           629413588,Hz,              -22.34, dBm,
           634746754,Hz,              -22.24, dBm,
           640079920,Hz,              -22.22, dBm,
           645413086,Hz,              -22.30, dBm,
           650746252,Hz,              -22.59, dBm,
           656079418,Hz,              -23.09, dBm,
           661412584,Hz,              -23.75, dBm,
           666745750,Hz,              -24.54, dBm,
           672078916,Hz,              -25.38, dBm,
           677412082,Hz,              -26.14, dBm,
           682745248,Hz,              -26.87, dBm,
           688078414,Hz,              -27.70, dBm,
           693411580,Hz,              -28.59, dBm,
           698744746,Hz,              -29.42, dBm,
           704077912,Hz,              -30.14, dBm,
           709411078,Hz,              -29.77, dBm,
           714744244,Hz,              -28.91, dBm,
           720077410,Hz,              -27.90, dBm,
           725410576,Hz,              -26.81, dBm,
           730743742,Hz,              -25.77, dBm,
           736076908,Hz,              -24.74, dBm,
           741410074,Hz,              -23.73, dBm,
           746743240,Hz,              -23.12, dBm,
           752076406,Hz,              -22.76, dBm,
           757409572,Hz,              -22.66, dBm,
           762742738,Hz,              -22.72, dBm,
           768075904,Hz,              -22.95, dBm,
           773409070,Hz,              -23.32, dBm,
           778742236,Hz,              -23.67, dBm,
           784075402,Hz,              -24.13, dBm,
           789408568,Hz,              -24.58, dBm,
           794741734,Hz,              -25.02, dBm,
           800074900,Hz,              -25.47, dBm,
           805408066,Hz,              -25.86, dBm,
           810741232,Hz,              -26.09, dBm,
           816074398,Hz,              -25.99, dBm,
           821407564,Hz,              -25.63, dBm,
           826740730,Hz,              -25.26, dBm,
           832073896,Hz,              -24.75, dBm,
           837407062,Hz,              -24.37, dBm,
           842740228,Hz,              -24.09, dBm,
           848073394,Hz,              -23.98, dBm,
           853406560,Hz,              -24.06, dBm,
           858739726,Hz,              -24.18, dBm,
           864072892,Hz,              -24.43, dBm,
           869406058,Hz,              -24.85, dBm,
           874739224,Hz,              -25.48, dBm,
           880072390,Hz,              -26.05, dBm,
           885405556,Hz,              -26.65, dBm,
           890738722,Hz,              -27.21, dBm,
           896071888,Hz,              -27.66, dBm,
           901405054,Hz,              -27.79, dBm,
           906738220,Hz,              -27.50, dBm,
           912071386,Hz,              -26.87, dBm,
           917404552,Hz,              -26.13, dBm,
           922737718,Hz,              -25.31, dBm,
           928070884,Hz,              -24.49, dBm,
           933404050,Hz,              -23.83, dBm,
           938737216,Hz,              -23.25, dBm,
           944070382,Hz,              -22.89, dBm,
           949403548,Hz,              -22.75, dBm,
           954736714,Hz,              -22.70, dBm,
           960069880,Hz,              -22.76, dBm,
           965403046,Hz,              -22.97, dBm,
           970736212,Hz,              -23.22, dBm,
           976069378,Hz,              -23.45, dBm,
           981402544,Hz,              -23.75, dBm,
           986735710,Hz,              -23.98, dBm,
           992068876,Hz,              -24.22, dBm,
           997402042,Hz,              -24.39, dBm,
          1002735208,Hz,              -24.41, dBm,
          1008068374,Hz,              -24.41, dBm,
          1013401540,Hz,              -24.38, dBm,
          1018734706,Hz,              -24.30, dBm,
          1024067872,Hz,              -24.14, dBm,
          1029401038,Hz,              -24.02, dBm,
          1034734204,Hz,              -23.92, dBm,
          1040067370,Hz,              -23.90, dBm,
          1045400536,Hz,              -23.98, dBm,
          1050733702,Hz,              -24.07, dBm,
          1056066868,Hz,              -24.20, dBm,
          1061400034,Hz,              -24.37, dBm,
          1066733200,Hz,              -24.55, dBm,
          1072066366,Hz,              -24.70, dBm,
          1077399532,Hz,              -24.82, dBm,
          1082732698,Hz,              -24.90, dBm,
          1088065864,Hz,              -24.93, dBm,
          1093399030,Hz,              -25.00, dBm,
          1098732196,Hz,              -25.02, dBm,
          1104065362,Hz,              -25.05, dBm,
          1109398528,Hz,              -25.14, dBm,
          1114731694,Hz,              -25.22, dBm,
          1120064860,Hz,              -25.35, dBm,
          1125398026,Hz,              -25.49, dBm,
          1130731192,Hz,              -25.71, dBm,
          1136064358,Hz,              -26.02, dBm,
          1141397524,Hz,              -26.50, dBm,
          1146730690,Hz,              -27.00, dBm,
          1152063856,Hz,              -27.42, dBm,
          1157397022,Hz,              -27.79, dBm,
          1162730188,Hz,              -28.06, dBm,
          1168063354,Hz,              -27.85, dBm,
          1173396520,Hz,              -27.60, dBm,
          1178729686,Hz,              -27.25, dBm,
          1184062852,Hz,              -26.89, dBm,
          1189396018,Hz,              -26.52, dBm,
          1194729184,Hz,              -26.26, dBm,
          1200062350,Hz,              -26.11, dBm,
          1205395516,Hz,              -26.06, dBm,
          1210728682,Hz,              -26.07, dBm,
          1216061848,Hz,              -26.24, dBm,
          1221395014,Hz,              -26.45, dBm,
          1226728180,Hz,              -26.74, dBm,
          1232061346,Hz,              -26.92, dBm,
          1237394512,Hz,              -27.04, dBm,
          1242727678,Hz,              -27.04, dBm,
          1248060844,Hz,              -26.77, dBm,
          1253394010,Hz,              -26.42, dBm,
          1258727176,Hz,              -25.84, dBm,
          1264060342,Hz,              -25.33, dBm,
          1269393508,Hz,              -24.84, dBm,
          1274726674,Hz,              -24.45, dBm,
          1280059840,Hz,              -24.19, dBm,
          1285393006,Hz,              -24.04, dBm,
          1290726172,Hz,              -24.01, dBm,
          1296059338,Hz,              -24.05, dBm,
          1301392504,Hz,              -24.19, dBm,
          1306725670,Hz,              -24.40, dBm,
          1312058836,Hz,              -24.62, dBm,
          1317392002,Hz,              -24.85, dBm,
          1322725168,Hz,              -24.99, dBm,
          1328058334,Hz,              -25.10, dBm,
          1333391500,Hz,              -25.12, dBm,
          1338724666,Hz,              -25.09, dBm,
          1344057832,Hz,              -25.01, dBm,
          1349390998,Hz,              -24.85, dBm,
          1354724164,Hz,              -24.73, dBm,
          1360057330,Hz,              -24.59, dBm,
          1365390496,Hz,              -24.45, dBm,
          1370723662,Hz,              -24.38, dBm,
          1376056828,Hz,              -24.36, dBm,
          1381389994,Hz,              -24.39, dBm,
          1386723160,Hz,              -24.47, dBm,
          1392056326,Hz,              -24.65, dBm,
          1397389492,Hz,              -24.92, dBm,
          1402722658,Hz,              -25.27, dBm,
          1408055824,Hz,              -25.66, dBm,
          1413388990,Hz,              -25.99, dBm,
          1418722156,Hz,              -26.28, dBm,
          1424055322,Hz,              -26.50, dBm,
          1429388488,Hz,              -26.61, dBm,
          1434721654,Hz,              -26.65, dBm,
          1440054820,Hz,              -26.59, dBm,
          1445387986,Hz,              -26.42, dBm,
          1450721152,Hz,              -26.29, dBm,
          1456054318,Hz,              -26.17, dBm,
          1461387484,Hz,              -26.15, dBm,
          1466720650,Hz,              -26.17, dBm,
          1472053816,Hz,              -26.25, dBm,
          1477386982,Hz,              -26.52, dBm,
          1482720148,Hz,              -26.87, dBm,
          1488053314,Hz,              -27.32, dBm,
          1493386480,Hz,              -27.84, dBm,
          1498719646,Hz,              -28.36, dBm,
          1504052812,Hz,              -28.78, dBm,
          1509385978,Hz,              -29.05, dBm,
          1514719144,Hz,              -29.13, dBm,
          1520052310,Hz,              -28.99, dBm,
          1525385476,Hz,              -28.70, dBm,
          1530718642,Hz,              -28.21, dBm,
          1536051808,Hz,              -27.70, dBm,
          1541384974,Hz,              -27.20, dBm,
          1546718140,Hz,              -26.96, dBm,
          1552051306,Hz,              -26.72, dBm,
          1557384472,Hz,              -26.54, dBm,
          1562717638,Hz,              -26.49, dBm,
          1568050804,Hz,              -26.47, dBm,
          1573383970,Hz,              -26.54, dBm,
          1578717136,Hz,              -26.61, dBm,
          1584050302,Hz,              -26.64, dBm,
          1589383468,Hz,              -26.61, dBm,
          1594716634,Hz,              -26.51, dBm,
          1600049800,Hz,              -26.39, dBm,
          1605382966,Hz,              -26.21, dBm,
          1610716132,Hz,              -26.00, dBm,
          1616049298,Hz,              -25.80, dBm,
          1621382464,Hz,              -25.65, dBm,
          1626715630,Hz,              -25.51, dBm,
          1632048796,Hz,              -25.47, dBm,
          1637381962,Hz,              -25.49, dBm,
          1642715128,Hz,              -25.59, dBm,
          1648048294,Hz,              -25.89, dBm,
          1653381460,Hz,              -26.18, dBm,
          1658714626,Hz,              -26.57, dBm,
          1664047792,Hz,              -26.99, dBm,
          1669380958,Hz,              -27.31, dBm,
          1674714124,Hz,              -27.57, dBm,
          1680047290,Hz,              -27.67, dBm,
          1685380456,Hz,              -27.57, dBm,
          1690713622,Hz,              -27.34, dBm,
          1696046788,Hz,              -26.98, dBm,
          1701379954,Hz,              -26.55, dBm,
          1706713120,Hz,              -26.05, dBm,
          1712046286,Hz,              -25.68, dBm,
          1717379452,Hz,              -25.36, dBm,
          1722712618,Hz,              -25.21, dBm,
          1728045784,Hz,              -25.12, dBm,
          1733378950,Hz,              -25.19, dBm,
          1738712116,Hz,              -25.38, dBm,
          1744045282,Hz,              -25.61, dBm,
          1749378448,Hz,              -26.03, dBm,
          1754711614,Hz,              -26.41, dBm,
          1760044780,Hz,              -26.88, dBm,
          1765377946,Hz,              -27.33, dBm,
          1770711112,Hz,              -27.63, dBm,
          1776044278,Hz,              -27.99, dBm,
          1781377444,Hz,              -28.16, dBm,
          1786710610,Hz,              -28.11, dBm,
          1792043776,Hz,              -27.89, dBm,
          1797376942,Hz,              -27.58, dBm,
          1802710108,Hz,              -27.17, dBm,
          1808043274,Hz,              -26.86, dBm,
          1813376440,Hz,              -26.60, dBm,
          1818709606,Hz,              -26.54, dBm,
          1824042772,Hz,              -26.57, dBm,
          1829375938,Hz,              -26.81, dBm,
          1834709104,Hz,              -27.23, dBm,
          1840042270,Hz,              -27.83, dBm,
          1845375436,Hz,              -28.64, dBm,
          1850708602,Hz,              -29.50, dBm,
          1856041768,Hz,              -30.42, dBm,
          1861374934,Hz,              -31.31, dBm,
          1866708100,Hz,              -32.03, dBm,
          1872041266,Hz,              -32.51, dBm,
          1877374432,Hz,              -32.92, dBm,
          1882707598,Hz,              -33.06, dBm,
          1888040764,Hz,              -32.91, dBm,
          1893373930,Hz,              -32.62, dBm,
          1898707096,Hz,              -32.24, dBm,
          1904040262,Hz,              -31.79, dBm,
          1909373428,Hz,              -31.44, dBm,
          1914706594,Hz,              -31.11, dBm,
          1920039760,Hz,              -30.78, dBm,
          1925372926,Hz,              -30.35, dBm,
          1930706092,Hz,              -30.07, dBm,
          1936039258,Hz,              -29.75, dBm,
          1941372424,Hz,              -29.55, dBm,
          1946705590,Hz,              -29.34, dBm,
          1952038756,Hz,              -29.19, dBm,
          1957371922,Hz,              -28.92, dBm,
          1962705088,Hz,              -28.67, dBm,
          1968038254,Hz,              -28.35, dBm,
          1973371420,Hz,              -28.03, dBm,
          1978704586,Hz,              -27.68, dBm,
          1984037752,Hz,              -27.43, dBm,
          1989370918,Hz,              -27.18, dBm,
          1994704084,Hz,              -26.88, dBm,
          2000037250,Hz,              -26.65, dBm,
          2005370416,Hz,              -26.29, dBm,
          2010703582,Hz,              -25.87, dBm,
          2016036748,Hz,              -25.45, dBm,
          2021369914,Hz,              -24.95, dBm,
          2026703080,Hz,              -24.61, dBm,
          2032036246,Hz,              -24.44, dBm,
          2037369412,Hz,              -24.39, dBm,
          2042702578,Hz,              -24.47, dBm,
          2048035744,Hz,              -24.69, dBm,
          2053368910,Hz,              -24.99, dBm,
          2058702076,Hz,              -25.43, dBm,
          2064035242,Hz,              -25.86, dBm,
          2069368408,Hz,              -26.26, dBm,
          2074701574,Hz,              -26.64, dBm,
          2080034740,Hz,              -27.02, dBm,
          2085367906,Hz,              -27.33, dBm,
          2090701072,Hz,              -27.61, dBm,
          2096034238,Hz,              -27.84, dBm,
          2101367404,Hz,              -27.89, dBm,
          2106700570,Hz,              -27.73, dBm,
          2112033736,Hz,              -27.44, dBm,
          2117366902,Hz,              -27.17, dBm,
          2122700068,Hz,              -26.87, dBm,
          2128033234,Hz,              -26.66, dBm,
          2133366400,Hz,              -26.56, dBm,
          2138699566,Hz,              -26.62, dBm,
          2144032732,Hz,              -26.82, dBm,
          2149365898,Hz,              -27.25, dBm,
          2154699064,Hz,              -27.93, dBm,
          2160032230,Hz,              -28.82, dBm,
          2165365396,Hz,              -29.96, dBm,
          2170698562,Hz,              -31.13, dBm,
          2176031728,Hz,              -32.52, dBm,
          2181364894,Hz,              -33.75, dBm,
          2186698060,Hz,              -34.71, dBm,
          2192031226,Hz,              -35.41, dBm,
          2197364392,Hz,              -35.51, dBm,
          2202697558,Hz,              -35.16, dBm,
          2208030724,Hz,              -34.36, dBm,
          2213363890,Hz,              -33.20, dBm,
          2218697056,Hz,              -31.96, dBm,
          2224030222,Hz,              -30.59, dBm,
          2229363388,Hz,              -29.45, dBm,
          2234696554,Hz,              -28.48, dBm,
          2240029720,Hz,              -28.20, dBm,
          2245362886,Hz,              -28.17, dBm,
          2250696052,Hz,              -28.47, dBm,
          2256029218,Hz,              -29.20, dBm,
          2261362384,Hz,              -30.08, dBm,
          2266695550,Hz,              -30.88, dBm,
          2272028716,Hz,              -31.52, dBm,
          2277361882,Hz,              -31.98, dBm,
          2282695048,Hz,              -32.01, dBm,
          2288028214,Hz,              -31.77, dBm,
          2293361380,Hz,              -31.18, dBm,
          2298694546,Hz,              -30.39, dBm,
          2304027712,Hz,              -29.46, dBm,
          2309360878,Hz,              -28.45, dBm,
          2314694044,Hz,              -27.38, dBm,
          2320027210,Hz,              -26.40, dBm,
          2325360376,Hz,              -25.69, dBm,
          2330693542,Hz,              -25.27, dBm,
          2336026708,Hz,              -25.21, dBm,
          2341359874,Hz,              -25.33, dBm,
          2346693040,Hz,              -25.69, dBm,
          2352026206,Hz,              -26.41, dBm,
          2357359372,Hz,              -27.18, dBm,
          2362692538,Hz,              -28.10, dBm,
          2368025704,Hz,              -28.92, dBm,
          2373358870,Hz,              -29.56, dBm,
          2378692036,Hz,              -30.11, dBm,
