Trace1,
Freq,,Amp,,
              100000,Hz,              -11.59, dBm,
             5433166,Hz,              -15.16, dBm,
            10766332,Hz,              -18.19, dBm,
            16099498,Hz,              -18.65, dBm,
            21432664,Hz,              -19.21, dBm,
            26765830,Hz,              -19.76, dBm,
            32098996,Hz,              -20.23, dBm,
            37432162,Hz,              -20.65, dBm,
            42765328,Hz,              -20.99, dBm,
            48098494,Hz,              -21.27, dBm,
            53431660,Hz,              -21.41, dBm,
            58764826,Hz,              -21.30, dBm,
            64097992,Hz,              -21.04, dBm,
            69431158,Hz,              -20.65, dBm,
            74764324,Hz,              -20.28, dBm,
            80097490,Hz,              -19.96, dBm,
            85430656,Hz,              -19.85, dBm,
            90763822,Hz,              -19.85, dBm,
            96096988,Hz,              -20.04, dBm,
           101430154,Hz,              -20.62, dBm,
           106763320,Hz,              -21.52, dBm,
           112096486,Hz,              -22.84, dBm,
           117429652,Hz,              -24.45, dBm,
           122762818,Hz,              -26.33, dBm,
           128095984,Hz,              -28.32, dBm,
           133429150,Hz,              -30.44, dBm,
           138762316,Hz,              -32.34, dBm,
           144095482,Hz,              -35.52, dBm,
           149428648,Hz,              -38.07, dBm,
           154761814,Hz,              -40.81, dBm,
           160094980,Hz,              -33.93, dBm,
           165428146,Hz,              -29.72, dBm,
           170761312,Hz,              -27.16, dBm,
           176094478,Hz,              -25.71, dBm,
           181427644,Hz,              -25.09, dBm,
           186760810,Hz,              -24.83, dBm,
           192093976,Hz,              -24.68, dBm,
           197427142,Hz,              -24.51, dBm,
           202760308,Hz,              -24.27, dBm,
           208093474,Hz,              -24.06, dBm,
           213426640,Hz,              -23.78, dBm,
           218759806,Hz,              -23.45, dBm,
           224092972,Hz,              -22.85, dBm,
           229426138,Hz,              -22.25, dBm,
           234759304,Hz,              -21.80, dBm,
           240092470,Hz,              -21.41, dBm,
           245425636,Hz,              -21.16, dBm,
           250758802,Hz,              -20.94, dBm,
           256091968,Hz,              -20.77, dBm,
           261425134,Hz,              -20.61, dBm,
           266758300,Hz,              -20.49, dBm,
           272091466,Hz,              -20.42, dBm,
           277424632,Hz,              -20.37, dBm,
           282757798,Hz,              -20.42, dBm,
           288090964,Hz,              -20.53, dBm,
           293424130,Hz,              -20.72, dBm,
           298757296,Hz,              -20.94, dBm,
           304090462,Hz,              -21.20, dBm,
           309423628,Hz,              -21.46, dBm,
           314756794,Hz,              -21.67, dBm,
           320089960,Hz,              -21.81, dBm,
           325423126,Hz,              -21.94, dBm,
           330756292,Hz,              -21.84, dBm,
           336089458,Hz,              -21.58, dBm,
           341422624,Hz,              -21.28, dBm,
           346755790,Hz,              -20.93, dBm,
           352088956,Hz,              -20.55, dBm,
           357422122,Hz,              -20.33, dBm,
