Trace1,
Freq,,Amp,,
              100000,Hz,                2.99, dBm,
             5433166,Hz,                1.37, dBm,
            10766332,Hz,                1.81, dBm,
            16099498,Hz,                2.06, dBm,
            21432664,Hz,                2.24, dBm,
            26765830,Hz,                2.45, dBm,
            32098996,Hz,                2.61, dBm,
            37432162,Hz,                2.68, dBm,
            42765328,Hz,                2.47, dBm,
            48098494,Hz,                2.08, dBm,
            53431660,Hz,                1.65, dBm,
            58764826,Hz,                1.27, dBm,
            64097992,Hz,                0.87, dBm,
            69431158,Hz,                0.59, dBm,
            74764324,Hz,                0.37, dBm,
            80097490,Hz,                0.30, dBm,
            85430656,Hz,                0.29, dBm,
            90763822,Hz,                0.29, dBm,
            96096988,Hz,                0.26, dBm,
           101430154,Hz,                0.21, dBm,
           106763320,Hz,               -0.10, dBm,
           112096486,Hz,               -0.76, dBm,
           117429652,Hz,               -1.73, dBm,
           122762818,Hz,               -3.14, dBm,
           128095984,Hz,               -4.88, dBm,
           133429150,Hz,               -6.72, dBm,
           138762316,Hz,               -8.75, dBm,
           144095482,Hz,              -12.52, dBm,
           149428648,Hz,              -14.70, dBm,
           154761814,Hz,              -17.96, dBm,
           160094980,Hz,              -13.53, dBm,
           165428146,Hz,               -8.76, dBm,
           170761312,Hz,               -6.28, dBm,
           176094478,Hz,               -4.86, dBm,
           181427644,Hz,               -4.24, dBm,
           186760810,Hz,               -3.88, dBm,
           192093976,Hz,               -3.33, dBm,
           197427142,Hz,               -2.59, dBm,
           202760308,Hz,               -1.78, dBm,
           208093474,Hz,               -1.00, dBm,
           213426640,Hz,               -0.34, dBm,
           218759806,Hz,                0.23, dBm,
           224092972,Hz,                1.03, dBm,
           229426138,Hz,                1.62, dBm,
           234759304,Hz,                1.88, dBm,
           240092470,Hz,                1.88, dBm,
           245425636,Hz,                1.65, dBm,
           250758802,Hz,                1.44, dBm,
           256091968,Hz,                1.12, dBm,
           261425134,Hz,                0.90, dBm,
           266758300,Hz,                0.83, dBm,
           272091466,Hz,                0.83, dBm,
           277424632,Hz,                0.91, dBm,
           282757798,Hz,                1.12, dBm,
           288090964,Hz,                1.39, dBm,
           293424130,Hz,                1.70, dBm,
           298757296,Hz,                1.95, dBm,
           304090462,Hz,                2.18, dBm,
           309423628,Hz,                2.28, dBm,
           314756794,Hz,                2.26, dBm,
           320089960,Hz,                2.09, dBm,
           325423126,Hz,                1.80, dBm,
           330756292,Hz,                1.56, dBm,
           336089458,Hz,                1.34, dBm,
           341422624,Hz,                1.17, dBm,
           346755790,Hz,                1.05, dBm,
           352088956,Hz,                0.98, dBm,
           357422122,Hz,                1.01, dBm,
           362755288,Hz,                1.03, dBm,
           368088454,Hz,                1.05, dBm,
           373421620,Hz,                1.07, dBm,
           378754786,Hz,                0.98, dBm,
           384087952,Hz,                0.85, dBm,
           389421118,Hz,                0.64, dBm,
           394754284,Hz,                0.35, dBm,
           400087450,Hz,               -0.05, dBm,
           405420616,Hz,               -0.40, dBm,
           410753782,Hz,               -0.94, dBm,
           416086948,Hz,               -1.53, dBm,
           421420114,Hz,               -2.17, dBm,
           426753280,Hz,               -2.85, dBm,
           432086446,Hz,               -3.71, dBm,
           437419612,Hz,               -4.78, dBm,
           442752778,Hz,               -6.38, dBm,
           448085944,Hz,               -8.80, dBm,
           453419110,Hz,              -12.39, dBm,
           458752276,Hz,              -16.97, dBm,
           464085442,Hz,              -14.05, dBm,
           469418608,Hz,              -10.34, dBm,
           474751774,Hz,               -7.63, dBm,
           480084940,Hz,               -5.29, dBm,
           485418106,Hz,               -3.23, dBm,
           490751272,Hz,               -1.61, dBm,
           496084438,Hz,               -0.49, dBm,
           501417604,Hz,                0.19, dBm,
           506750770,Hz,                0.33, dBm,
           512083936,Hz,                0.26, dBm,
           517417102,Hz,                0.05, dBm,
           522750268,Hz,               -0.10, dBm,
           528083434,Hz,               -0.14, dBm,
           533416600,Hz,               -0.03, dBm,
           538749766,Hz,                0.16, dBm,
           544082932,Hz,                0.51, dBm,
           549416098,Hz,                0.82, dBm,
           554749264,Hz,                1.04, dBm,
           560082430,Hz,                1.34, dBm,
           565415596,Hz,                1.73, dBm,
           570748762,Hz,                2.01, dBm,
           576081928,Hz,                2.19, dBm,
           581415094,Hz,                2.24, dBm,
           586748260,Hz,                2.16, dBm,
           592081426,Hz,                2.00, dBm,
           597414592,Hz,                1.62, dBm,
           602747758,Hz,                1.26, dBm,
           608080924,Hz,                1.05, dBm,
           613414090,Hz,                0.82, dBm,
           618747256,Hz,                0.65, dBm,
           624080422,Hz,                0.56, dBm,
           629413588,Hz,                0.50, dBm,
           634746754,Hz,                0.46, dBm,
           640079920,Hz,                0.39, dBm,
           645413086,Hz,                0.30, dBm,
           650746252,Hz,                0.09, dBm,
           656079418,Hz,               -0.19, dBm,
           661412584,Hz,               -0.46, dBm,
           666745750,Hz,               -0.67, dBm,
           672078916,Hz,               -0.95, dBm,
           677412082,Hz,               -1.43, dBm,
           682745248,Hz,               -1.96, dBm,
           688078414,Hz,               -2.54, dBm,
           693411580,Hz,               -3.53, dBm,
           698744746,Hz,               -4.55, dBm,
           704077912,Hz,               -5.56, dBm,
           709411078,Hz,               -6.02, dBm,
           714744244,Hz,               -5.74, dBm,
           720077410,Hz,               -5.08, dBm,
           725410576,Hz,               -4.15, dBm,
           730743742,Hz,               -3.15, dBm,
           736076908,Hz,               -2.12, dBm,
           741410074,Hz,               -1.22, dBm,
